iter	Passed	Remaining
395	18783	28649
396	18826	28596
397	18867	28538
398	18910	28484
399	18955	28432
400	19081	28502
401	19133	28461
402	19182	28416
403	19228	28367
404	19270	28310
405	19309	28250
406	19348	28190
407	19391	28136
408	19434	28083
409	19495	28054
410	19556	28026
411	19612	27990
412	19647	27925
413	19690	27870
414	19727	27809
415	19777	27764
416	19829	27723
417	19891	27696
418	19952	27666
419	19996	27614
420	20045	27568
421	20098	27528
422	20142	27475
423	20188	27425
424	20234	27376
425	20278	27323
426	20325	27274
427	20374	27229
428	20409	27164
429	20448	27106
430	20481	27039
431	20520	26980
432	20555	26916
433	20595	26860
434	20636	26804
435	20675	26745
436	20719	26693
437	20759	26636
438	20807	26590
439	20847	26533
440	20902	26495
441	20956	26456
442	21003	26408
443	21040	26348
444	21075	26285
445	21113	26225
446	21153	26170
447	21194	26114
448	21234	26058
449	21275	26003
450	21317	25949
451	21362	25899
452	21405	25847
453	21448	25794
454	21486	25736
455	21522	25675
456	21559	25616
457	21600	25561
458	21646	25513
459	21686	25457
460	21733	25410
461	21776	25358
462	21830	25319
463	21878	25273
464	21925	25225
465	21963	25168
466	22011	25122
467	22059	25076
468	22103	25025
469	22148	24975
470	22197	24930
471	22236	24874
472	22280	24824
473	22331	24781
474	22375	24731
475	22416	24676
476	22463	24629
477	22512	24584
478	22549	24526
479	22598	24481
480	22649	24439
481	22690	24385
482	22726	24326
483	22764	24269
484	22801	24211
485	22845	24161
486	22885	24106
487	22926	24053
488	22975	24009
489	23019	23958
490	23053	23898
491	23092	23842
492	23142	23799
493	23193	23757
494	23228	23697
495	23263	23638
496	23297	23578
497	23343	23530
498	23389	23482
499	23432	23432
500	23474	23380
501	23522	23334
502	23562	23281
503	23605	23230
504	23646	23178
505	23690	23128
506	23726	23071
507	23771	23022
508	23812	22970
509	23854	22919
510	23905	22876
511	23957	22834
512	24006	22789
513	24046	22737
514	24087	22684
515	24123	22627
516	24164	22575
517	24206	22523
518	24254	22478
519	24303	22434
520	24341	22379
521	24385	22330
522	24424	22276
523	24471	22229
524	24509	22175
525	24551	22124
526	24594	22074
527	24634	22021
528	24678	21972
529	24725	21926
530	24768	21876
531	24810	21825
532	24853	21776
533	24897	21726
534	24935	21673
535	24977	21622
536	25017	21570
537	25060	21520
538	25100	21468
539	25139	21415
540	25182	21365
541	25232	21322
542	25300	21293
543	25357	21255
544	25413	21217
545	25467	21176
546	25513	21128
547	25551	21075
548	25591	21023
549	25631	20971
550	25675	20922
551	25714	20869
552	25756	20819
553	25796	20767
554	25833	20713
555	25869	20658
556	25911	20608
557	25952	20557
558	25996	20508
559	26033	20454
560	26078	20407
561	26125	20361
562	26166	20310
563	26211	20262
564	26248	20209
565	26294	20161
566	26337	20113
567	26376	20060
568	26415	20009
569	26464	19964
570	26510	19917
571	26555	19870
572	26597	19820
573	26646	19776
574	26692	19729
575	26743	19686
576	26794	19643
577	26836	19593
578	26898	19558
579	26950	19515
580	27000	19471
581	27046	19424
582	27091	19377
583	27138	19331
584	27177	19279
585	27216	19228
586	27254	19175
587	27290	19122
588	27334	19073
589	27395	19037
590	27459	19003
591	27505	18956
592	27556	18912
593	27594	18860
594	27632	18808
595	27672	18758
596	27724	18714
597	27787	18680
598	27858	18650
599	27973	18648
600	28021	18603
601	28055	18548
602	28092	18495
603	28130	18443
604	28173	18394
605	28217	18345
606	28258	18295
607	28307	18250
608	28344	18197
609	28376	18142
610	28409	18087
611	28449	18036
612	28492	17988
613	28538	17940
614	28592	17899
615	28641	17854
616	28696	17813
617	28744	17767
618	28787	17718
619	28829	17669
620	28868	17618
621	28912	17570
622	28966	17528
623	29012	17481
624	29048	17429
625	29087	17378
626	29121	17324
627	29153	17269
628	29186	17215
629	29229	17166
630	29269	17116
631	29313	17068
632	29349	17016
633	29387	16965
634	29431	16917
635	29470	16866
636	29515	16819
637	29568	16777
638	29628	16738
639	29681	16696
640	29754	16664
641	29823	16630
642	29882	16590
643	29945	16553
644	29994	16508
645	30048	16466
646	30115	16430
647	30192	16400
648	30253	16362
649	30298	16314
650	30345	16267
651	30385	16217
652	30429	16170
653	30476	16123
654	30545	16088
655	30603	16047
656	30649	16001
657	30688	15950
658	30728	15900
659	30774	15853
660	30817	15804
661	30863	15757
662	30931	15722
663	31002	15687
664	31050	15642
665	31087	15590
666	31121	15537
667	31165	15489
668	31208	15441
669	31257	15395
670	31326	15360
671	31422	15337
672	31488	15299
673	31557	15263
674	31626	15227
675	31675	15181
676	31723	15135
677	31772	15089
678	31809	15038
679	31848	14987
680	31887	14937
681	31925	14885
682	31972	14839
683	32006	14786
684	32047	14737
685	32086	14686
686	32128	14638
687	32171	14589
688	32208	14538
689	32259	14493
690	32302	14445
691	32361	14403
692	32415	14359
693	32467	14315
694	32520	14271
695	32572	14227
696	32636	14187
697	32689	14143
698	32738	14097
699	32790	14052
700	32837	14006
701	32882	13958
702	32921	13908
703	32963	13859
704	33007	13811
705	33046	13761
706	33098	13716
707	33190	13688
708	33264	13653
709	33316	13608
710	33362	13560
711	33400	13510
712	33436	13459
713	33483	13412
714	33524	13362
715	33576	13318
716	33616	13268
717	33659	13220
718	33712	13175
719	33770	13132
720	33833	13092
721	33894	13050
722	33939	13003
723	33978	12953
724	34020	12904
725	34065	12856
726	34110	12808
727	34162	12763
728	34213	12718
729	34259	12671
730	34313	12626
731	34363	12581
732	34432	12542
733	34493	12500
734	34547	12455
735	34598	12410
736	34640	12361
737	34690	12315
738	34729	12265
739	34768	12215
740	34822	12171
741	34867	12123
742	34932	12082
743	34994	12041
744	35033	11991
745	35081	11944
746	35133	11899
747	35187	11854
748	35241	11809
749	35290	11763
750	35348	11720
751	35398	11674
752	35439	11624
753	35480	11575
754	35528	11528
755	35574	11481
756	35620	11434
757	35664	11386
758	35724	11343
759	35792	11303
760	35842	11256
761	35897	11211
762	35942	11164
763	35990	11117
764	36037	11070
765	36089	11024
766	36149	10981
767	36218	10941
768	36258	10891
769	36301	10843
770	36348	10796
771	36401	10750
772	36451	10704
773	36508	10660
774	36646	10639
775	36704	10595
776	36747	10546
777	36798	10500
778	36838	10450
779	36895	10406
780	36962	10364
781	37037	10325
782	37095	10280
783	37142	10233
784	37185	10184
785	37233	10137
786	37277	10089
787	37332	10043
788	37373	9994
789	37412	9945
790	37458	9897
791	37497	9847
792	37535	9797
793	37578	9749
794	37621	9701
795	37662	9652
796	37709	9604
797	37759	9558
798	37797	9508
799	37836	9459
800	37880	9410
801	37926	9363
802	37970	9315
803	38013	9267
804	38058	9219
805	38109	9172
806	38152	9124
807	38199	9077
808	38245	9029
809	38292	8982
810	38341	8935
811	38391	8888
812	38442	8842
813	38490	8795
814	38534	8747
815	38576	8698
816	38614	8649
817	38652	8599
818	38699	8552
819	38761	8508
820	38808	8461
821	38854	8413
822	38905	8367
823	38955	8320
824	39004	8273
825	39040	8224
826	39082	8175
827	39127	8127
828	39171	8080
829	39222	8033
830	39267	7985
831	39305	7936
832	39343	7887
833	39387	7839
834	39433	7792
835	39482	7745
836	39535	7699
837	39584	7652
838	39633	7605
839	39682	7558
840	39724	7510
841	39767	7462
842	39815	7415
843	39863	7368
844	39921	7322
845	39969	7275
846	40021	7229
847	40068	7182
848	40111	7134
849	40157	7086
850	40207	7039
851	40255	6992
852	40306	6946
853	40353	6898
854	40399	6851
855	40440	6803
856	40483	6755
857	40529	6707
858	40581	6661
859	40632	6614
860	40679	6567
861	40729	6520
862	40789	6475
863	40843	6429
864	40896	6382
865	40948	6336
866	40995	6288
867	41041	6241
868	41094	6194
869	41149	6148
870	41191	6100
871	41233	6052
872	41272	6004
873	41311	5955
874	41348	5906
875	41387	5858
876	41424	5809
877	41465	5761
878	41510	5714
879	41556	5666
880	41606	5619
881	41647	5571
882	41695	5524
883	41738	5476
884	41782	5429
885	41831	5382
886	41879	5335
887	41932	5288
888	41977	5241
889	42024	5194
890	42069	5146
891	42108	5098
892	42144	5049
893	42189	5002
894	42230	4954
895	42273	4906
896	42313	4858
897	42356	4811
898	42396	4763
899	42441	4715
900	42486	4668
901	42529	4620
902	42574	4573
903	42615	4525
904	42656	4477
905	42702	4430
906	42753	4383
907	42800	4336
908	42850	4289
909	42895	4242
910	42944	4195
911	42983	4147
912	43021	4099
913	43055	4051
914	43098	4003
915	43141	3956
916	43188	3909
917	43235	3861
918	43300	3816
919	43350	3769
920	43388	3721
921	43441	3675
922	43492	3628
923	43542	3581
924	43587	3534
925	43646	3487
926	43719	3442
927	43777	3396
928	43836	3350
929	43886	3303
930	43930	3255
931	43976	3208
932	44016	3160
933	44056	3113
934	44100	3065
935	44160	3019
936	44201	2971
937	44246	2924
938	44291	2877
939	44330	2829
940	44376	2782
941	44419	2734
942	44467	2687
943	44512	2640
944	44564	2593
945	44611	2546
946	44661	2499
947	44707	2452
948	44750	2404
949	44794	2357
950	44843	2310
951	44890	2263
952	44934	2216
953	44985	2169
954	45033	2121
955	45079	2074
956	45131	2027
957	45186	1981
958	45254	1934
959	45305	1887
960	45349	1840
961	45394	1793
962	45441	1745
963	45491	1698
964	45546	1651
965	45591	1604
966	45640	1557
967	45677	1510
968	45725	1462
969	45773	1415
970	45819	1368
971	45865	1321
972	45906	1273
973	45950	1226
974	45990	1179
975	46029	1131
976	46073	1084
977	46117	1037
978	46159	990
979	46202	942
980	46240	895
981	46285	848
982	46326	801
983	46369	753
984	46412	706
985	46454	659
986	46491	612
987	46534	565
988	46579	518
989	46632	471
990	46678	423
991	46720	376
992	46760	329
993	46803	282
994	46845	235
995	46886	188
996	46931	141
997	46977	94
998	47019	47
999	47056	0
